209	
3	<u>Kh</u>án-i-Suq-i-Abiyad	Khan-i-Suq-i-Abiyad
1	<u>Kh</u>án-i-Suq-i-Abyad	Khan-i-Suq-i-Abyad
1	<u>Kh</u>án-i-Tunukabani	Khan-i-Tunukabani
2	<u>Kh</u>án-i-Tunukabuni	Khan-i-Tunukabuni
2	<u>Kh</u>án-i-Turk	Khan-i-Turk
3	<u>Kh</u>án-i-Turkaman	Khan-i-Turkaman
2	<u>Kh</u>án-i-Vakíl	Khan-i-Vakil
1	<u>Kh</u>án-i-Validih	Khan-i-Validih
2	<u>Kh</u>án-i-Valí	Khan-i-Vali
3	<u>Kh</u>án-i-Varqá	Khan-i-Varqa
1	<u>Kh</u>án-i-Vazir	Khan-i-Vazir
1	<u>Kh</u>án-i-Vazlr	Khan-i-Vazlr
3	<u>Kh</u>án-i-Vujdani	Khan-i-Vujdani
2	<u>Kh</u>án-i-Yavar	Khan-i-Yavar
1	<u>Kh</u>án-i-Yusufiyan	Khan-i-Yusufiyan
2	<u>Kh</u>án-i-Zand	Khan-i-Zand
6	<u>Kh</u>án-i-‘Arab	Khan-i-'Arab
5	<u>Kh</u>án-i-‘Avámid	Khan-i-'Avamid
1	<u>Kh</u>án-very	Khan-very
1	<u>Kh</u>án/Peter	Khan/Peter
1	<u>Kh</u>án[Fl	Khan[Fl
2	<u>Kh</u>ánum	Khanom
91	<u>Kh</u>ánum	Khanum
13	<u>Kh</u>ánum	Khánum
26	<u>Kh</u>ánum's	Khanum's
5	<u>Kh</u>ánum's	Khánum's
1	<u>Kh</u>ánum-Jan	Khanum-Jan
2	<u>Kh</u>ánum-i-Afnán	Khanum-i-Afnan
1	<u>Kh</u>ánum-i-Ashraf	Khanum-i-Ashraf
1	<u>Kh</u>ánum-i-Mahfuruzki	Khanum-i-Mahfuruzki
1	<u>Kh</u>ánum-i-Núrí	Khanum-i-Nuri
1	<u>Kh</u>ánum.+	Khanum.+
2	<u>Kh</u>ánum}	Khanum}
2	<u>Kh</u>ánum’s	Khanum’s
1	<u>Kh</u>án}	Khan}
1	<u>Kh</u>án~	Khan~
2	<u>Kh</u>án’s	Khan’s
11	<u>Sh</u>ahnáz	Shahnaz
6	<u>Sh</u>araf	Sharaf
71	<u>Sh</u>ay<u>kh</u>	Shaykh
9	<u>Sh</u>ay<u>kh</u>	Sheik
9	<u>Sh</u>ay<u>kh</u>	Sheikh
1	<u>Sh</u>ay<u>kh</u> Muḥammad-i-Yazdí and Muḥammad-‘Alíy-i-Tabrízí	Shaykh Muhammad-i-Yazdi and Muhammad 'Aliy-i-Tabrizi
1	<u>Sh</u>ay<u>kh</u> Muḥammad-‘Alí	Shaykh Muhammad 'Ali
1	<u>Sh</u>ay<u>kh</u> ‘Alí-Akbar	Sheikh Ali Akbar
1	<u>Sh</u>ay<u>kh</u>'AIi	Shaykh'AIi
15	<u>Sh</u>ay<u>kh</u>'s	Shaykh's
1	<u>Sh</u>ay<u>kh</u>'s	Sheikh's
1	<u>Sh</u>ay<u>kh</u>'‘Alí-Akbar-i-Quchani	Shaykh'Ali-Akbar-i-Quchani
1	<u>Sh</u>ay<u>kh</u>-Abdus-Salam	Sheikh-Abdus-Salam
1	<u>Sh</u>ay<u>kh</u>-Aḥmad-i-Ahsa'i	Shaykh-Ahmad-i-Ahsa'i
1	<u>Sh</u>ay<u>kh</u>-Aḥmad-i-Ahsá'í	Shaykh-Ahmad-i-Ahsá'í
1	<u>Sh</u>ay<u>kh</u>-El-Islam	Sheikh-El-Islam
1	<u>Sh</u>ay<u>kh</u>-Mortaza-El-Ansari	Sheik-Mortaza-El-Ansari
1	<u>Sh</u>ay<u>kh</u>-Murtaza	Sheikh-Murtaza
2	<u>Sh</u>ay<u>kh</u>-Riday-i-Yazdí	Shaykh-Riday-i-Yazdi
1	<u>Sh</u>ay<u>kh</u>-Salih	Shaykh-Salih
1	<u>Sh</u>ay<u>kh</u>-al-Jabal	Shaykh-al-Jabal
1	<u>Sh</u>ay<u>kh</u>-gari	Shaykh-gari
1	<u>Sh</u>ay<u>kh</u>-i	Shaykh-i
1	<u>Sh</u>ay<u>kh</u>-i-Ahsa'i	Shaykh-i-Ahsa'i
1	<u>Sh</u>ay<u>kh</u>-i-Ahsa'l	Shaykh-i-Ahsa'l
1	<u>Sh</u>ay<u>kh</u>-i-Ahsá'í	Shaykh-i-Ahsá'í
1	<u>Sh</u>ay<u>kh</u>-i-Anam	Shaykh-i-Anam
1	<u>Sh</u>ay<u>kh</u>-i-Ansari	Shaykh-i-Ansari
1	<u>Sh</u>ay<u>kh</u>-i-Bahá’í	Sheikh-i-Baha'i
1	<u>Sh</u>ay<u>kh</u>-i-Fani	Shaykh-i-Fani
1	<u>Sh</u>ay<u>kh</u>-‘Abdu’l-Ḥusayn	Sheik-Abdul-Hussein
1	<u>Sh</u>ay<u>kh</u>-‘Abdu’l-Ḥusayn	Sheikh-Abdul-Hussein
1	<u>Sh</u>ay<u>kh</u>-‘Alí	<u>Sh</u>ay<u>kh</u>-'Alí
5	<u>Sh</u>ay<u>kh</u>-‘Alí	Shaykh-'Ali
3	<u>Sh</u>ay<u>kh</u>-‘Alí	Sheikh-Ali
1	<u>Sh</u>ay<u>kh</u>-‘Alí.\	<u>Sh</u>ay<u>kh</u>-'Alí.\
1	<u>Sh</u>ay<u>kh</u>-‘Alíy-i-Mírí	Shaykh-'Aliy-i-Miri
1	<u>Sh</u>ay<u>kh</u>-‘Alíy-i-Tur<u>sh</u>ízí	Shaykh-'Aliy-i-Turshizi
1	<u>Sh</u>ay<u>kh</u>-Ṭabarsí	Shaykh-Tabarsi
1	<u>Sh</u>ay<u>kh</u>-Ṭabarsí	Sheikh-Tabarsi
1	<u>Sh</u>ay<u>kh</u>L	ShaykhL
1	<u>Sh</u>ay<u>kh</u>doms	Shaykhdoms
1	<u>Sh</u>ay<u>kh</u>i-Moallem	Sheikhi-Moallem
1	<u>Sh</u>ay<u>kh</u>ies	Sheikies
5	<u>Sh</u>ay<u>kh</u>ism	Shaykhism
1	<u>Sh</u>ay<u>kh</u>iyya	Shaykhiyya
1	<u>Sh</u>ay<u>kh</u>iyya-Juriyya	Shaykhiyya-Juriyya
1	<u>Sh</u>ay<u>kh</u>lyah	Shaykhlyah
1	<u>Sh</u>ay<u>kh</u>n'l-	Shaykhn'l-
7	<u>Sh</u>ay<u>kh</u>s	Shaykhs
2	<u>Sh</u>ay<u>kh</u>s	Sheikhs
4	<u>Sh</u>ay<u>kh</u>s	Sheiks
1	<u>Sh</u>ay<u>kh</u>u	Shaykhu
1	<u>Sh</u>ay<u>kh</u>u'sh	Shaykhu'sh
1	<u>Sh</u>ay<u>kh</u>u'sh-Shari'a	Shaykhu'sh-Shari'a
1	<u>Sh</u>ay<u>kh</u>u'sh-Shi'a	Shaykhu'sh-Shi'a
1	<u>Sh</u>ay<u>kh</u>una	Shaykhuna
1	<u>Sh</u>ay<u>kh</u>u’l-'Ajam	Shaykhu'l-'Ajam
2	<u>Sh</u>ay<u>kh</u>u’l-'Iraqayn	Shaykhu'l-'Iraqayn
1	<u>Sh</u>ay<u>kh</u>u’l-'ulama	Shaykhu'l-'ulama
1	<u>Sh</u>ay<u>kh</u>u’l-Ishraq	Shaykha'l-Ishraq
1	<u>Sh</u>ay<u>kh</u>u’l-Ishraq	Shaykhu'l-Ishraq
1	<u>Sh</u>ay<u>kh</u>u’l-Islám	Shaykh'u'l-Islam
14	<u>Sh</u>ay<u>kh</u>u’l-Islám	Shaykhu'l-Islam
1	<u>Sh</u>ay<u>kh</u>u’l-Isláms}	Shaykhu'l-Isláms}
5	<u>Sh</u>ay<u>kh</u>u’r-Ra'is	Shaykhu'r-Ra'is
2	<u>Sh</u>ay<u>kh</u>u’r-Ra'is's	Shaykhu'r-Ra'is's
1	<u>Sh</u>ay<u>kh</u>u’r-Rais	Shaykhu'r-Rais
1	<u>Sh</u>ay<u>kh</u>u’t	Shaykhu't
1	<u>Sh</u>ay<u>kh</u>u’t-	Shaykhu't-
1	<u>Sh</u>ay<u>kh</u>u’t-Ta'ifa	Shaykhu't-Ta'ifa
1	<u>Sh</u>ay<u>kh</u>u’t-Ta'ifa's	Shaykhu't-Ta'ifa's
28	<u>Sh</u>ay<u>kh</u>í	Shaykhi
2	<u>Sh</u>ay<u>kh</u>í	Shaykhie
4	<u>Sh</u>ay<u>kh</u>í	Shaykhí
1	<u>Sh</u>ay<u>kh</u>í-Bala-	Shaykhi-Bala-
1	<u>Sh</u>ay<u>kh</u>í-Bala-Sari	Shaykhi-Bala-Sari
1	<u>Sh</u>ay<u>kh</u>í-Bábí	Shaykhi-Babi
1	<u>Sh</u>ay<u>kh</u>í-gari	Shaykhi-gari
1	<u>Sh</u>ay<u>kh</u>í-und	Shaykhi-und
20	<u>Sh</u>ay<u>kh</u>ís	Shaykhis
2	<u>Sh</u>ay<u>kh</u>ís	Shaykhís
86	<u>Sh</u>áh	Shah
7	<u>Sh</u>áh	Sháh
36	<u>Sh</u>áh's	Shah's
2	<u>Sh</u>áh's	Sháh's
1	<u>Sh</u>áh'}	Sháh'}
1	<u>Sh</u>áh, Muḥammad-‘Alí	Shah, Muhammad 'Ali
1	<u>Sh</u>áh-Baba	Shah-Baba
9	<u>Sh</u>áh-Bahrám	Shah-Bahram
1	<u>Sh</u>áh-Banu	Shah-Banu
1	<u>Sh</u>áh-Begum	Sháh-Begum
3	<u>Sh</u>áh-Chiragh	Shah-Chiragh
1	<u>Sh</u>áh-Jihan	Shah-Jihan
1	<u>Sh</u>áh-Mu4ammad	Shah-Mu4ammad
3	<u>Sh</u>áh-Muḥammad	Shah-Muhammad
1	<u>Sh</u>áh-Muḥammad-	Shah-Muhammad-
1	<u>Sh</u>áh-Muḥammad-i-Amin	Shah-Muhammad-i-Amin
